Tally Name,GST Percentage,Godown Name
Breast Pad,0%,Eco Femme
Clit Kit,18%,Eco Femme
Cuterus,18%,Eco Femme
Pad for Pad scheme,0%,
Heavy Flow Kit,0%,Eco Femme
Natural Light Flow Kit,0%,Eco Femme
Vibrant Light Flow Kit,0%,Eco Femme
Nappy Covers,0%,Eco Femme
Natural Organic Pantyliner without PUL (pack of 3),0%,Eco Femme
Natural Organic Pantyliner with PUL (Pack of 3),0%,Eco Femme
Natural Organic Day Pad,0%,Eco Femme
Natural Organic Day Pad Plus,0%,Eco Femme
Natural Organic Day Pad Plus Twin Pack,0%,Eco Femme
Natural Organic Day Pad Twin Pack,0%,Eco Femme
Natural Organic First Period Kit With Book,0%,Eco Femme
Vibrant Organic First Period Kit With Book,0%,Eco Femme
Natural Organic First Period Kit Without Book,0%,Eco Femme
Vibrant Organic First Period Kit Without Book,0%,Eco Femme
Natural Organic Full Cycle Kit,0%,Eco Femme
Natural Organic Night Pad,0%,Eco Femme
Natural Organic Night Pad Twin Pack,0%,Eco Femme
Natural Organic starter kit,0%,Eco Femme
Natural Medium Flow Kit,0%,Eco Femme
Vibrant Medium Flow Kit,0%,Eco Femme
Natural Make Your Own Kit,5%,Eco Femme
Vibrant Make Your Own Kit,5%,Eco Femme
New Mums Kit,0%,Eco Femme
Period Panty,5%,Eco Femme
Starter Kit,0%,Eco Femme
Storage Pouch,5%,Eco Femme
Travel pouch,5%,Eco Femme
Vibrant Organic Day Pad,0%,Eco Femme
Vibrant organic Day pad plus,0%,Eco Femme
Vibrant Organic Day Pad Plus Twin Pack,0%,Eco Femme
Vibrant Organic Day Pad Twin Pack,0%,Eco Femme
Vibrant Organic Foldable Pad,0%,Eco Femme
Vibrant Organic Foldable Pad Twin Pack,0%,Eco Femme
Vibrant Organic Full Cycle Kit,0%,Eco Femme
Vibrant Organic Night pad,0%,Eco Femme
Vibrant Organic Night Pad Twin Pack,0%,Eco Femme
Vibrant Organic Pantyliner without PUL (pack of 3),0%,Eco Femme
Vibrant Organic Pantyliner with PUL,0%,Eco Femme
Vibrant Organic Super Comfy,0%,Eco Femme
Vibrant Organic Super Comfy Twin Pack,0%,Eco Femme
Book,0%,Eco Femme
Key Chain,0%,Eco Femme
soap,18%,Eco Femme
SHE cups,12%,Eco Femme
Stickers,0%,Eco Femme
Sumo Style belt,0%,Eco Femme
Good Ol Faithful Large - Square,0%,Eco Femme
Good Ol Faithful Small - Square,0%,Eco Femme
FoldnFit Day Large - Insert,0%,Eco Femme
FoldnFit Day Small - Insert,0%,Eco Femme
FoldnFit Night Large - Insert,0%,Eco Femme
FoldnFit Night Small - Insert,0%,Eco Femme
Natural She Cup Pantyliner Kit without PUL,0%,Eco Femme
Vibrant She Cup Pantyliner Kit without PUL,0%,Eco Femme
Natural She Cup Pantyliner Kit with PUL,0%,Eco Femme
Vibrant She Cup Pantyliner Kit with PUL,0%,Eco Femme
Limited Edition Day Pad Twin Pack,0%,Eco Femme
Limited Edition Day Pad Plus Twin Pack,0%,Eco Femme
Limited Edition Night Pad Twin Pack,0%,Eco Femme
Limited Edition Night Pad Twin Pack (Pack of 4),0%,Eco Femme
Limited Edition Night Pad Twin Pack (Pack of 6),0%,Eco Femme
Limited Edition Super Comfy Twin Pack,0%,Eco Femme
Limited Edition Super Comfy Twin Pack (Pack of 4),0%,Eco Femme
Limited Edition Super Comfy Twin Pack (Pack of 6),0%,Eco Femme
Limited Edition Pantyliner with PUL (Pack of 3),0%,Eco Femme
Limited Edition Pantyliner with PUL (Pack of 6),0%,Eco Femme
Limited Edition Starter Kit,0%,Eco Femme
Limited Edition Light Flow Kit,0%,Eco Femme
Limited Edition Heavy Flow Kit,0%,Eco Femme
Limited Edition Medium Flow Kit,0%,Eco Femme
Limited Edition Full Cycle Kit,0%,Eco Femme
